ticker,first_date,last_date,rows,days_in_position,position_changes,total_cost,total_return_market,total_return_strategy_gross,total_return_strategy_net,market_perf_pct,strategy_gross_perf_pct,strategy_net_perf_pct,alpha_net_pct,max_drawdown_market_pct,max_drawdown_strategy_gross_pct,max_drawdown_strategy_net_pct,closed_trades,avg_trade_return_pct,win_rate_pct,avg_entry_vix,avg_exit_vix,avg_holding_days,profit_factor,avg_win_pct,avg_loss_pct,max_consecutive_losses,num_stop_loss,num_take_profit,num_trailing_stop,num_vix_exit,num_end_of_data,pct_stop_loss,pct_take_profit,pct_trailing_stop,pct_vix_exit,pct_end_of_data
NEXI.MI,2019-04-18,2026-04-08,1769,771.0,154.0,0.231,0.4269461461824412,0.5326657538785708,0.4227468798194749,-57.30538538175588,-46.73342461214291,-57.72531201805251,-0.41992663629662985,-84.94422558985045,-66.92848001215074,-73.47609280159881,77,-0.9948658904196171,36.36363636363637,23.803766233766236,24.876103896103892,14.545454545454545,0.5647103812743411,3.549316244518333,-3.591541396098446,8,19,0,6,52,0,24.675324675324674,0.0,7.792207792207792,67.53246753246754,0.0
PIRC.MI,2017-10-04,2026-04-08,2158,1284.0,174.0,0.261,1.179613708695604,0.8694640284897905,0.6700136869538891,17.9613708695604,-13.053597151020945,-32.998631304611095,-50.96000217417149,-60.29708035727921,-55.51948097660969,-59.77440378439274,87,-0.3332539532817342,41.37931034482759,22.072528735632183,23.729540229885057,21.264367816091955,0.8517568640352424,4.627358106381553,-3.8348624659852315,7,26,0,10,51,0,29.88505747126437,0.0,11.494252873563218,58.620689655172406,0.0
PRY.MI,2015-01-02,2026-04-08,2862,1882.0,254.0,0.381,9.468027748315835,1.9910309334610439,1.361036273934188,846.8027748315835,99.10309334610439,36.10362739341879,-810.6991474381647,-49.8506541327817,-48.26446715665179,-56.40303965830602,127,0.5981109355402714,48.818897637795274,21.25456692913386,22.929606299212594,21.330708661417322,1.263086204537318,5.882049711439147,-4.441953743009426,10,42,0,18,67,0,33.07086614173229,0.0,14.173228346456693,52.75590551181102,0.0
PST.MI,2015-10-27,2026-04-08,2653,1837.0,148.0,0.222,5.8550593627093495,3.401672436718185,2.724053205277184,485.50593627093497,240.1672436718185,172.40532052771843,-313.1006157432165,-46.62032989816562,-23.532758429167057,-30.54255909045197,74,1.5769347258147814,54.054054054054056,22.56256756756757,24.859729729729732,35.66216216216216,2.0693442255215673,5.6454771797179015,-3.2095858081888884,10,11,0,10,53,0,14.864864864864865,0.0,13.513513513513514,71.62162162162163,0.0
REC.MI,2015-01-02,2026-04-08,2862,1865.0,180.0,0.27,5.041221495150978,2.6746405457010876,2.04209755428717,404.1221495150978,167.46405457010874,104.209755428717,-299.9123940863808,-37.120693132601076,-23.690192430019074,-28.728158882776956,90,0.9825843099281302,48.888888888888886,22.025444444444442,23.773444444444447,29.655555555555555,1.6168200320104087,5.268207469128106,-3.1167074075674988,5,18,0,18,54,0,20.0,0.0,20.0,60.0,0.0
SRG.MI,2015-01-02,2026-04-08,2862,1974.0,165.0,0.2475,2.993334097157096,1.8244438644620913,1.4242045161506687,199.33340971570962,82.44438644620912,42.42045161506687,-156.91295810064275,-37.62743027051756,-28.994609220586774,-30.471359464471035,83,0.5408344191743982,42.168674698795186,22.330481927710842,24.65867469879518,34.27710843373494,1.372306728134382,4.727425338976983,-2.5118881265149864,6,15,0,6,61,1,18.072289156626507,0.0,7.228915662650602,73.49397590361446,1.2048192771084338
STLAM.MI,2015-01-02,2026-04-08,2862,1612.0,262.0,0.393,2.1642635807166384,1.3279823006893594,0.8968760310449745,116.42635807166384,32.79823006893594,-10.312396895502552,-126.73875496716639,-76.29557676757469,-50.54303930026334,-52.584817866338085,131,0.24554315758327114,40.458015267175576,21.125419847328246,22.65099236641221,17.801526717557252,1.090894446335007,7.283978322986134,-4.5369833009597,8,46,0,18,67,0,35.11450381679389,0.0,13.740458015267176,51.14503816793893,0.0
TEN.MI,2015-01-02,2026-04-08,2862,1512.0,206.0,0.309,2.8703836400161493,2.9498222490434753,2.167364628000443,187.03836400161492,194.98222490434753,116.73646280004428,-70.30190120157064,-76.43375277961485,-37.672076837459464,-39.97348472912856,104,1.0452742172011211,45.19230769230769,21.107692307692307,22.58673076923077,20.98076923076923,1.437253486338759,7.602664213222627,-4.3616964812727534,7,37,0,14,52,1,35.57692307692308,0.0,13.461538461538462,50.0,0.9615384615384616
TRN.MI,2015-01-02,2026-04-08,2862,2064.0,173.0,0.2595,4.318220127768057,1.885225715705539,1.454242531211389,331.82201277680565,88.5225715705539,45.42425312113889,-286.39775965566673,-30.56292728935167,-25.39115292340337,-26.5058829168304,87,0.5270344571481168,49.42528735632184,23.493218390804596,25.94712643678161,34.18390804597701,1.4186575497173401,3.613336876438935,-2.4891247253406372,5,13,0,5,68,1,14.942528735632186,0.0,5.747126436781609,78.16091954022988,1.1494252873563218
UCG.MI,2015-01-02,2026-04-08,2862,1710.0,218.0,0.327,3.5385428723439203,1.4145446037293927,1.0202161914976722,253.85428723439202,41.45446037293927,2.0216191497672176,-251.8326680846248,-79.51761580592354,-72.61863882408608,-75.49678772141858,109,0.3754715493877087,39.44954128440367,19.870642201834862,21.309174311926608,22.6697247706422,1.1280198194947615,8.386381156587504,-4.843757437121249,11,44,0,22,43,0,40.36697247706422,0.0,20.18348623853211,39.44954128440367,0.0
UNI.MI,2015-01-02,2026-04-08,2862,1907.0,225.0,0.3375,9.989182859944036,5.623481659219359,4.0102567457942975,898.9182859944035,462.3481659219359,301.02567457942973,-597.8926114149738,-59.77733065631471,-43.62690692975153,-45.636922078281174,113,1.6062339006298965,47.78761061946903,21.62566371681416,23.640176991150444,24.36283185840708,1.918247080158993,7.021638411922687,-3.3502380249601167,9,29,0,18,65,1,25.663716814159294,0.0,15.929203539823009,57.52212389380531,0.8849557522123894
