ticker,trade_num,entry_date,entry_price,entry_vix,exit_date,exit_price,exit_vix,exit_reason,holding_days,gross_return_pct,net_return_pct
SRG.MI,74,2024-08-09,4.002251148223877,20.37,2024-12-18,3.937727928161621,27.62,vix_exit,131,-1.6121731913523174,-1.9121731913523172
SRG.MI,75,2025-01-17,4.045573711395264,15.97,2025-03-10,4.387564659118652,27.86,vix_exit,52,8.45345980868164,8.15345980868164
SRG.MI,76,2025-03-14,4.291935920715332,21.77,2025-04-03,4.702856063842773,30.02,vix_exit,20,9.574237610214698,9.274237610214698
SRG.MI,77,2025-04-14,4.433959007263184,30.89,2025-04-15,4.485087394714356,30.12,vix_exit,1,1.1531091597243082,0.8531091597243082
SRG.MI,78,2025-05-02,4.7549309730529785,22.68,2025-10-16,5.128467082977295,25.31,vix_exit,167,7.855763039278818,7.555763039278817
SRG.MI,79,2025-10-21,5.246002197265625,17.87,2025-11-20,5.596650123596191,26.42,vix_exit,30,6.684097969179925,6.3840979691799244
SRG.MI,80,2025-11-25,5.520252227783203,18.56,2026-03-06,6.486000061035156,29.49,vix_exit,101,17.494632371893882,17.19463237189388
SRG.MI,81,2026-03-18,6.449999809265137,25.09,2026-03-20,6.369999885559082,26.78,vix_exit,2,-1.2403089313450577,-1.5403089313450575
SRG.MI,82,2026-03-25,6.349999904632568,25.33,2026-03-26,6.326000213623047,27.44,vix_exit,1,-0.37794789558993624,-0.6779478955899363
SRG.MI,83,2026-04-01,6.526000022888184,24.54,2026-04-08,6.639999866485596,24.54,end_of_data,7,1.7468563162364115,1.4468563162364116
STLAM.MI,1,2015-03-19,5.03515100479126,14.07,2015-04-29,4.656692028045654,13.39,stop_loss,41,-7.5163381671270235,-7.816338167127023
STLAM.MI,2,2015-05-04,4.3769612312316895,12.85,2015-06-05,4.584290981292725,14.21,trailing_stop,32,4.736842277277642,4.436842277277641
STLAM.MI,3,2015-08-05,4.91009521484375,12.51,2015-08-12,4.52834415435791,13.61,stop_loss,7,-7.774819912488972,-8.074819912488973
STLAM.MI,4,2015-08-14,4.604037284851074,12.83,2015-08-20,4.344052314758301,19.14,stop_loss,6,-5.64689106554842,-5.946891065548421
STLAM.MI,5,2015-10-22,4.49214506149292,14.45,2015-11-04,4.30126953125,15.51,stop_loss,13,-4.249095423901661,-4.549095423901662
STLAM.MI,6,2015-11-05,4.337470054626465,15.05,2015-11-16,4.097230911254883,18.16,stop_loss,11,-5.5386928404344005,-5.838692840434401
STLAM.MI,7,2015-11-18,4.153177261352539,16.85,2015-12-14,3.8997740745544434,22.73,stop_loss,26,-6.101429600805708,-6.401429600805708
STLAM.MI,8,2016-03-16,3.444720506668091,14.99,2016-04-05,3.18050217628479,15.42,stop_loss,20,-7.6702400055923885,-7.970240005592388
STLAM.MI,9,2016-04-06,3.138522863388061,14.09,2016-05-03,3.410149574279785,15.6,trailing_stop,27,8.654603541696071,8.35460354169607
STLAM.MI,10,2016-05-04,3.382987260818481,16.05,2016-05-17,3.108891248703003,15.57,stop_loss,13,-8.102188716169245,-8.402188716169245
STLAM.MI,11,2016-07-15,3.0027096271514893,12.67,2016-07-28,2.819979190826416,12.72,stop_loss,13,-6.085518049190119,-6.38551804919012
